constraint_id,constraint_type,generic_land_use_type_id,maximum,minimum,plan_type_id
1997,far,6,3.12,0.0,115
1998,far,6,3.0,0.0,116
1404,far,4,3.0,0.0,116
484,units_per_acre,2,100.0,0.0,116
932,far,3,3.0,0.0,116
1999,far,6,3.0,0.0,117
485,units_per_acre,2,100.0,0.0,117
1405,far,4,3.0,0.0,117
933,far,3,3.0,0.0,117
1406,far,4,3.0,0.0,118
2000,far,6,3.0,0.0,118
486,units_per_acre,2,100.0,30.0,118
934,far,3,3.0,0.0,118
1407,far,4,3.0,1.5,119
935,far,3,3.0,1.5,119
487,units_per_acre,2,100.0,0.0,119
2001,far,6,3.0,1.5,119
1408,far,4,3.0,0.0,120
936,far,3,3.0,0.0,120
488,units_per_acre,2,100.0,16.0,120
2002,far,6,3.0,0.0,120
937,far,3,4.75,0.0,121
489,units_per_acre,2,98.01,0.0,121
1409,far,4,4.75,0.0,121
2003,far,6,4.75,0.0,121
2004,far,6,4.5,0.0,122
938,far,3,4.5,0.0,122
1410,far,4,4.5,0.0,122
490,units_per_acre,2,98.01,0.0,122
2005,far,6,2.5,0.0,123
491,units_per_acre,2,100.0,0.0,123
1411,far,4,2.5,0.0,123
939,far,3,2.5,0.0,123
492,units_per_acre,2,100.0,0.0,124
2006,far,6,2.5,0.0,124
1412,far,4,2.5,0.0,124
940,far,3,2.5,0.0,124
941,far,3,2.5,0.0,125
1817,far,5,2.5,0.0,125
1413,far,4,2.5,0.0,125
493,units_per_acre,2,100.0,0.0,125
2007,far,6,2.5,0.0,125
2008,far,6,2.0,0.0,126
942,far,3,2.0,0.0,126
1414,far,4,2.0,0.0,126
494,units_per_acre,2,100.0,30.0,126
495,units_per_acre,2,100.0,0.0,127
943,far,3,2.0,0.0,127
1415,far,4,2.0,0.0,127
2009,far,6,2.0,0.0,127
1416,far,4,4.5,0.0,128
944,far,3,4.5,0.0,128
2010,far,6,4.5,0.0,128
496,units_per_acre,2,92.565,0.0,128
2011,far,6,4.25,0.0,129
1417,far,4,4.25,0.0,129
497,units_per_acre,2,92.565,0.0,129
945,far,3,4.25,0.0,129
946,far,3,3.0,0.0,130
2012,far,6,3.0,0.0,130
1418,far,4,3.0,0.0,130
498,units_per_acre,2,92.0,0.0,130
947,far,3,2.5,0.5,131
499,units_per_acre,2,91.0,0.0,131
2013,far,6,2.5,0.5,131
1419,far,4,2.5,0.5,131
1420,far,4,2.5,0.0,132
2014,far,6,2.5,0.0,132
500,units_per_acre,2,91.0,0.0,132
948,far,3,2.5,0.0,132
501,units_per_acre,2,87.12,0.0,133
2015,far,6,4.0,0.0,133
949,far,3,4.0,0.0,133
1421,far,4,4.0,0.0,133
502,units_per_acre,2,87.12,0.0,134
1422,far,4,2.0,0.0,134
2016,far,6,2.0,0.0,134
950,far,3,2.0,0.0,134
1423,far,4,4.0,0.0,135
951,far,3,4.0,0.0,135
503,units_per_acre,2,85.0,0.0,135
2017,far,6,4.0,0.0,135
2018,far,6,1.0,0.0,136
1424,far,4,1.0,0.0,136
952,far,3,1.0,0.0,136
504,units_per_acre,2,87.12,20.0,136
1818,far,5,4.0,0.0,137
2019,far,6,4.0,0.0,137
505,units_per_acre,2,83.0,0.0,137
1425,far,4,4.0,0.0,137
953,far,3,4.0,0.0,138
1426,far,4,4.0,0.0,138
506,units_per_acre,2,82.0,0.0,138
2020,far,6,4.0,0.0,138
954,far,3,2.0,0.0,139
2021,far,6,2.0,0.0,139
507,units_per_acre,2,82.0,0.0,139
1427,far,4,2.0,0.0,139
1428,far,4,7.0,0.0,140
955,far,3,7.0,0.0,140
2022,far,6,7.0,0.0,140
508,units_per_acre,2,76.23,0.0,140
509,units_per_acre,2,80.0,20.0,141
1429,far,4,2.5,0.0,141
956,far,3,2.5,0.0,141
2023,far,6,2.5,0.0,141
957,far,3,4.0,0.0,142
2024,far,6,4.0,0.0,142
510,units_per_acre,2,78.408,0.0,142
1430,far,4,4.0,0.0,142
2025,far,6,3.0,0.0,143
958,far,3,3.0,0.0,143
511,units_per_acre,2,78.408,0.0,143
1431,far,4,3.0,0.0,143
512,units_per_acre,2,80.0,0.0,144
1432,far,4,2.0,0.0,145
513,units_per_acre,2,78.0,0.0,145
959,far,3,2.0,0.0,145
2026,far,6,2.0,0.0,145
1819,far,5,3.0,0.0,146
2027,far,6,3.0,0.0,146
1433,far,4,3.0,0.0,146
960,far,3,3.0,0.0,146
514,units_per_acre,2,75.0,0.0,146
961,far,3,4.0,0.0,147
1434,far,4,4.0,0.0,147
515,units_per_acre,2,74.0,0.0,147
2028,far,6,4.0,0.0,147
1435,far,4,2.5,0.0,148
2029,far,6,2.5,0.0,148
516,units_per_acre,2,75.0,0.0,148
962,far,3,2.5,0.0,148
1436,far,4,2.5,0.0,149
963,far,3,2.5,0.0,149
517,units_per_acre,2,75.0,0.0,149
1820,far,5,2.5,0.0,149
964,far,3,2.25,0.0,150
2030,far,6,2.25,0.0,150
1437,far,4,2.25,0.0,150
518,units_per_acre,2,75.0,0.0,150
2031,far,6,2.73,0.0,151
1438,far,4,2.73,0.0,151
519,units_per_acre,2,73.0,0.0,151
965,far,3,2.73,0.0,151
966,far,3,3.0,0.0,152
1439,far,4,3.0,0.0,152
2032,far,6,3.0,0.0,152
520,units_per_acre,2,72.0,0.0,152
2033,far,6,2.7,0.0,153
1440,far,4,2.7,0.0,153
967,far,3,2.7,0.0,153
521,units_per_acre,2,72.0,0.0,153
2034,far,6,2.0,0.0,154
522,units_per_acre,2,72.0,0.0,154
1821,far,5,2.0,0.0,154
1441,far,4,2.0,0.0,154
968,far,3,2.0,0.0,154
1442,far,4,1.5,0.0,155
523,units_per_acre,2,72.0,36.0,155
969,far,3,1.5,0.0,155
2035,far,6,1.5,0.0,155
524,units_per_acre,2,70.0,0.0,156
1443,far,4,3.5,0.0,156
1822,far,5,3.5,0.0,156
2036,far,6,3.5,0.0,156
525,units_per_acre,2,72.0,36.0,157
1444,far,4,0.5,0.0,157
970,far,3,0.5,0.0,157
2037,far,6,0.5,0.0,157
971,far,3,2.33,0.0,158
1445,far,4,2.33,0.0,158
526,units_per_acre,2,69.696,0.0,158
2038,far,6,2.33,0.0,158
1446,far,4,1.7,0.0,159
972,far,3,1.7,0.0,159
527,units_per_acre,2,70.0,0.0,159
2039,far,6,1.7,0.0,159
973,far,3,2.0,0.0,160
2040,far,6,2.0,0.0,160
528,units_per_acre,2,69.696,0.0,160
1447,far,4,2.0,0.0,160
2041,far,6,3.0,0.0,161
974,far,3,3.0,0.0,161
1448,far,4,3.0,0.0,161
529,units_per_acre,2,68.0,0.0,161
2042,far,6,2.5,0.0,162
1449,far,4,2.5,0.0,162
530,units_per_acre,2,68.0,0.0,162
975,far,3,2.5,0.0,162
531,units_per_acre,2,70.0,0.0,163
2043,far,6,2.0,0.0,164
1450,far,4,2.0,0.0,164
532,units_per_acre,2,67.0,0.0,164
1451,far,4,3.0,0.0,165
976,far,3,3.0,0.0,165
533,units_per_acre,2,65.0,0.0,165
2044,far,6,3.0,0.0,165
534,units_per_acre,2,65.0,0.0,166
977,far,3,2.04,0.0,166
1452,far,4,2.04,0.0,166
2045,far,6,2.04,0.0,166
978,far,3,2.0,0.0,167
1453,far,4,2.0,0.0,167
535,units_per_acre,2,65.0,0.0,167
2046,far,6,2.0,0.0,167
536,units_per_acre,2,62.0,0.0,168
1454,far,4,5.0,0.0,168
979,far,3,5.0,0.0,168
2047,far,6,5.0,0.0,168
980,far,3,1.75,0.0,169
537,units_per_acre,2,63.298,0.0,169
1455,far,4,1.75,0.0,169
2048,far,6,1.75,0.0,169
1456,far,4,3.0,0.0,170
538,units_per_acre,2,60.0,0.0,170
981,far,3,3.0,0.0,170
2049,far,6,3.0,0.0,170
539,units_per_acre,2,61.0,0.0,171
982,far,3,2.0,0.0,171
1457,far,4,2.0,0.0,171
2050,far,6,2.0,0.0,171
983,far,3,3.0,0.0,172
540,units_per_acre,2,59.0,0.0,172
2051,far,6,3.0,0.0,172
1458,far,4,3.0,0.0,172
541,units_per_acre,2,60.0,0.0,173
1459,far,4,2.0,0.0,173
2052,far,6,2.0,0.0,173
984,far,3,2.0,0.0,173
542,units_per_acre,2,60.0,10.0,174
2053,far,6,2.0,0.0,174
1460,far,4,2.0,0.0,174
985,far,3,2.0,0.0,174
543,units_per_acre,2,58.806,0.0,175
1461,far,4,3.0,0.0,175
2054,far,6,3.0,0.0,175
986,far,3,3.0,0.0,175
1462,far,4,2.25,0.0,176
2055,far,6,2.25,0.0,176
987,far,3,2.25,0.0,176
544,units_per_acre,2,58.806,0.0,176
1463,far,4,2.92,0.0,177
545,units_per_acre,2,58.0,0.0,177
988,far,3,2.92,0.0,177
2056,far,6,2.92,0.0,177
2057,far,6,1.3,0.0,178
546,units_per_acre,2,58.806,0.0,178
1464,far,4,1.3,0.0,178
989,far,3,1.3,0.0,178
990,far,3,5.0,0.0,179
1465,far,4,5.0,0.0,179
2058,far,6,5.0,0.0,179
547,units_per_acre,2,54.5,0.0,179
1466,far,4,1.5,0.0,180
991,far,3,1.5,0.0,180
2059,far,6,1.5,0.0,180
548,units_per_acre,2,58.0,0.0,180
2060,far,6,5.0,0.0,181
549,units_per_acre,2,54.0,0.0,181
1823,far,5,5.0,0.0,181
1467,far,4,5.0,0.0,181
550,units_per_acre,2,56.0,0.0,182
992,far,3,3.0,0.0,182
1468,far,4,3.0,0.0,182
2061,far,6,3.0,0.0,182
551,units_per_acre,2,58.0,0.0,183
993,far,3,4.0,0.0,184
2062,far,6,4.0,0.0,184
1469,far,4,4.0,0.0,184
552,units_per_acre,2,54.0,0.0,184
994,far,3,1.3,0.0,185
553,units_per_acre,2,56.628,0.0,185
1470,far,4,1.3,0.0,185
2063,far,6,1.3,0.0,185
554,units_per_acre,2,54.0,0.0,186
1471,far,4,3.5,0.0,186
995,far,3,3.5,0.0,186
2064,far,6,3.5,0.0,186
555,units_per_acre,2,56.628,0.0,187
2065,far,6,2.5,0.0,188
996,far,3,2.5,0.0,188
556,units_per_acre,2,54.0,0.0,188
1472,far,4,2.5,0.0,188
1473,far,4,6.5,0.0,189
557,units_per_acre,2,50.0,0.0,189
997,far,3,6.5,0.0,189
2066,far,6,6.5,0.0,189
998,far,3,2.0,0.0,190
2067,far,6,2.0,0.0,190
1474,far,4,2.0,0.0,190
558,units_per_acre,2,54.0,0.0,190
559,units_per_acre,2,54.0,0.0,191
2068,far,6,1.0,0.0,191
1475,far,4,1.0,0.0,191
999,far,3,1.0,0.0,191
1476,far,4,3.0,0.0,192
2069,far,6,3.0,0.0,192
560,units_per_acre,2,52.0,0.0,192
1000,far,3,3.0,0.0,192
561,units_per_acre,2,55.0,0.0,193
1477,far,4,4.0,0.0,194
562,units_per_acre,2,50.0,0.0,194
2070,far,6,4.0,0.0,194
1001,far,3,4.0,0.0,194
563,units_per_acre,2,54.0,0.0,195
2071,far,6,1.4,0.0,196
1478,far,4,1.4,0.0,196
564,units_per_acre,2,52.0,0.0,196
1002,far,3,1.4,0.0,196
1824,far,5,1.4,0.0,196
2072,far,6,1.2,0.0,197
1003,far,3,1.2,0.0,197
1479,far,4,1.2,0.0,197
565,units_per_acre,2,52.0,0.0,197
1004,far,3,1.0,0.0,198
2073,far,6,1.0,0.0,198
566,units_per_acre,2,52.0,0.0,198
1480,far,4,1.0,0.0,198
567,units_per_acre,2,50.0,0.0,199
1481,far,4,3.0,0.0,199
2074,far,6,3.0,0.0,199
1005,far,3,3.0,0.0,199
1006,far,3,2.0,0.0,200
568,units_per_acre,2,50.0,0.0,200
2075,far,6,2.0,0.0,200
1482,far,4,2.0,0.0,200
1483,far,4,1.2,0.0,201
2076,far,6,1.2,0.0,201
1007,far,3,1.2,0.0,201
569,units_per_acre,2,50.094,0.0,201
2077,far,6,1.25,0.0,202
570,units_per_acre,2,50.0,0.0,202
1484,far,4,1.25,0.0,202
1008,far,3,1.25,0.0,202
1485,far,4,1.0,0.0,203
1009,far,3,1.0,0.0,203
2078,far,6,2.5,0.0,204
571,units_per_acre,2,48.0,0.0,204
1010,far,3,2.5,0.0,204
1486,far,4,2.5,0.0,204
1487,far,4,2.1,0.0,205
1011,far,3,2.1,0.0,205
2079,far,6,2.1,0.0,205
